="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="L7_art1_best",="0.000",="-0.000",="0.000",="0.001",="0.001",="0.002**",="0.002**",="0.001*",="0.001",="0.001",="0.001",="0.000",="0.001",="0.000",="0.001",="0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L8_art1_best",="-0.001",="-0.000",="-0.000",="-0.000",="0.001",="0.001",="0.001",="0.001",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="0.000",="-0.000",="-0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L1_vix",="0.022",="0.047*",="0.076**",="0.137***",="0.152***",="0.174***",="0.141***",="0.137***",="0.105**",="0.090*",="0.080",="0.124**",="0.124**",="0.141**",="0.067",="0.078"
="",="(0.023)",="(0.027)",="(0.033)",="(0.035)",="(0.037)",="(0.038)",="(0.045)",="(0.039)",="(0.049)",="(0.046)",="(0.051)",="(0.051)",="(0.055)",="(0.055)",="(0.059)",="(0.058)"
="L2_vix",="0.003",="0.007",="0.045",="0.012",="0.025",="-0.025",="0.004",="-0.025",="-0.016",="-0.020",="0.035",="-0.006",="0.003",="-0.079",="-0.005",="-0.025"
="",="(0.032)",="(0.035)",="(0.048)",="(0.045)",="(0.054)",="(0.054)",="(0.062)",="(0.059)",="(0.071)",="(0.066)",="(0.073)",="(0.066)",="(0.080)",="(0.075)",="(0.090)",="(0.084)"
="L3_vix",="-0.019",="0.019",="-0.014",="-0.006",="-0.064",="-0.038",="-0.066",="-0.056",="-0.052",="0.006",="-0.034",="-0.035",="-0.114",="-0.045",="-0.054",="-0.051"
="",="(0.030)",="(0.029)",="(0.041)",="(0.037)",="(0.051)",="(0.048)",="(0.057)",="(0.056)",="(0.064)",="(0.057)",="(0.063)",="(0.062)",="(0.074)",="(0.071)",="(0.085)",="(0.083)"
="L4_vix",="0.040",="0.009",="0.024",="-0.036",="-0.008",="-0.028",="-0.018",="-0.012",="0.046",="0.012",="0.013",="-0.057",="0.012",="-0.003",="-0.014",="-0.049"
="",="(0.026)",="(0.028)",="(0.036)",="(0.038)",="(0.045)",="(0.046)",="(0.053)",="(0.053)",="(0.053)",="(0.051)",="(0.056)",="(0.060)",="(0.066)",="(0.070)",="(0.077)",="(0.078)"
="L5_vix",="-0.029",="-0.009",="-0.082**",="-0.049",="-0.068",="-0.063",="-0.061",="-0.003",="-0.035",="-0.048",="-0.115**",="-0.043",="-0.047",="-0.050",="-0.085",="-0.071"
="",="(0.027)",="(0.031)",="(0.037)",="(0.046)",="(0.043)",="(0.054)",="(0.050)",="(0.053)",="(0.050)",="(0.054)",="(0.058)",="(0.061)",="(0.068)",="(0.075)",="(0.074)",="(0.078)"
="L6_vix",="0.016",="-0.061**",="-0.022",="-0.062*",="-0.055",="-0.057",="-0.001",="-0.023",="-0.032",="-0.091",="-0.021",="-0.037",="-0.049",="-0.087",="-0.058",="-0.037"
="",="(0.027)",="(0.029)",="(0.038)",="(0.038)",="(0.043)",="(0.046)",="(0.053)",="(0.049)",="(0.052)",="(0.055)",="(0.063)",="(0.067)",="(0.069)",="(0.076)",="(0.074)",="(0.075)"
="L7_vix",="-0.044*",="0.000",="-0.041",="-0.022",="-0.027",="0.024",="-0.006",="-0.019",="-0.080",="-0.012",="-0.025",="-0.015",="-0.051",="-0.028",="-0.006",="0.045"
="",="(0.027)",="(0.032)",="(0.036)",="(0.039)",="(0.046)",="(0.050)",="(0.046)",="(0.048)",="(0.054)",="(0.058)",="(0.065)",="(0.064)",="(0.074)",="(0.069)",="(0.075)",="(0.072)"
="L8_vix",="0.011",="-0.009",="0.021",="0.032",="0.050",="0.018",="0.009",="0.003",="0.066*",="0.066",="0.072",="0.074",="0.128***",="0.156***",="0.160***",="0.116**"
