="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)"
="L6_art1_best",="0.000",="-0.000",="-0.000",="-0.001",="-0.001",="-0.001",="-0.002",="-0.001",="-0.001",="-0.001",="-0.000",="-0.002",="-0.001",="-0.001",="-0.001",="-0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)"
="L7_art1_best",="0.001",="-0.000",="0.000",="0.002**",="0.002",="0.002**",="0.002**",="0.003***",="0.003**",="0.003**",="0.003*",="0.002*",="0.003**",="0.003*",="0.003",="0.003*"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="L8_art1_best",="-0.002***",="-0.002***",="-0.002**",="-0.003***",="-0.001",="-0.001",="-0.000",="-0.001",="-0.002",="-0.002",="-0.002",="-0.001",="-0.002",="-0.002",="-0.001",="-0.003*"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.002)"
="L1_commo",="-0.007",="-0.010",="-0.006",="0.005",="0.004",="-0.013",="-0.015",="-0.024",="-0.022",="-0.027",="-0.032",="-0.041*",="-0.051*",="-0.051**",="-0.045",="-0.050*"
="",="(0.011)",="(0.013)",="(0.015)",="(0.015)",="(0.018)",="(0.018)",="(0.021)",="(0.020)",="(0.025)",="(0.022)",="(0.027)",="(0.024)",="(0.028)",="(0.025)",="(0.030)",="(0.027)"
="L2_commo",="0.006",="0.012",="0.017",="0.016",="0.001",="0.001",="-0.011",="-0.006",="-0.005",="-0.010",="-0.019",="-0.030",="-0.030",="-0.028",="-0.032",="-0.029"
="",="(0.011)",="(0.012)",="(0.015)",="(0.016)",="(0.018)",="(0.019)",="(0.022)",="(0.024)",="(0.024)",="(0.026)",="(0.025)",="(0.028)",="(0.027)",="(0.030)",="(0.028)",="(0.033)"
="L3_commo",="-0.001",="0.001",="0.002",="-0.012",="-0.011",="-0.027",="-0.021",="-0.018",="-0.026",="-0.038",="-0.048*",="-0.047*",="-0.042",="-0.047*",="-0.043",="-0.032"
="",="(0.011)",="(0.012)",="(0.015)",="(0.016)",="(0.020)",="(0.022)",="(0.024)",="(0.024)",="(0.027)",="(0.025)",="(0.029)",="(0.027)",="(0.031)",="(0.027)",="(0.033)",="(0.028)"
="L4_commo",="-0.001",="0.003",="-0.014",="-0.013",="-0.028",="-0.022",="-0.020",="-0.028",="-0.039",="-0.052*",="-0.049*",="-0.042",="-0.047*",="-0.042",="-0.033",="-0.026"
="",="(0.011)",="(0.011)",="(0.015)",="(0.016)",="(0.021)",="(0.021)",="(0.023)",="(0.024)",="(0.025)",="(0.027)",="(0.027)",="(0.029)",="(0.027)",="(0.030)",="(0.028)",="(0.034)"
="L5_commo",="0.006",="-0.010",="-0.011",="-0.027*",="-0.018",="-0.017",="-0.030",="-0.041**",="-0.053**",="-0.048**",="-0.045*",="-0.048**",="-0.042",="-0.033",="-0.027",="-0.042"
="",="(0.011)",="(0.012)",="(0.016)",="(0.016)",="(0.021)",="(0.019)",="(0.022)",="(0.021)",="(0.025)",="(0.023)",="(0.027)",="(0.023)",="(0.028)",="(0.024)",="(0.031)",="(0.027)"
="L6_commo",="-0.012",="-0.014",="-0.028*",="-0.023",="-0.023",="-0.038**",="-0.050**",="-0.058***",="-0.055**",="-0.049**",="-0.048**",="-0.046*",="-0.042*",="-0.037",="-0.051*",="-0.063**"
="",="(0.011)",="(0.011)",="(0.015)",="(0.016)",="(0.018)",="(0.019)",="(0.020)",="(0.022)",="(0.023)",="(0.025)",="(0.023)",="(0.026)",="(0.025)",="(0.029)",="(0.027)",="(0.030)"
="L7_commo",="-0.001",="-0.015",="-0.011",="-0.010",="-0.025",="-0.039**",="-0.048**",="-0.045*",="-0.042*",="-0.043*",="-0.040",="-0.032",="-0.028",="-0.035",="-0.049",="-0.056*"
="",="(0.011)",="(0.012)",="(0.016)",="(0.017)",="(0.019)",="(0.020)",="(0.022)",="(0.024)",="(0.025)",="(0.024)",="(0.026)",="(0.026)",="(0.029)",="(0.028)",="(0.031)",="(0.030)"
="L8_commo",="-0.014",="-0.010",="-0.006",="-0.022",="-0.036*",="-0.045**",="-0.040*",="-0.036*",="-0.040*",="-0.041*",="-0.033",="-0.029",="-0.035",="-0.050*",="-0.058**",="-0.065**"
="",="(0.011)",="(0.011)",="(0.016)",="(0.016)",="(0.019)",="(0.019)",="(0.023)",="(0.022)",="(0.024)",="(0.024)",="(0.025)",="(0.026)",="(0.027)",="(0.028)",="(0.029)",="(0.029)"
="L1_R_DJ_global",="0.109***",="0.172***",="0.204***",="0.259***",="0.283***",="0.285***",="0.289***",="0.297***",="0.262***",="0.214***",="0.212***",="0.249***",="0.270***",="0.278***",="0.283***",="0.294***"
="",="(0.024)",="(0.025)",="(0.036)",="(0.040)",="(0.039)",="(0.042)",="(0.041)",="(0.047)",="(0.041)",="(0.048)",="(0.045)",="(0.052)",="(0.052)",="(0.054)",="(0.058)",="(0.055)"
="L2_R_DJ_global",="0.039*",="0.065***",="0.118***",="0.149***",="0.152***",="0.153***",="0.155***",="0.108***",="0.072",="0.074*",="0.102**",="0.118**",="0.123**",="0.121**",="0.134**",="0.135***"
="",="(0.023)",="(0.022)",="(0.036)",="(0.028)",="(0.042)",="(0.036)",="(0.046)",="(0.040)",="(0.048)",="(0.043)",="(0.051)",="(0.046)",="(0.054)",="(0.048)",="(0.057)",="(0.049)"
="L3_R_DJ_global",="0.030",="0.098***",="0.135***",="0.132***",="0.139***",="0.140***",="0.094**",="0.049",="0.042",="0.067",="0.097**",="0.107**",="0.106**",="0.118**",="0.117**",="0.083"
="",="(0.020)",="(0.023)",="(0.027)",="(0.030)",="(0.035)",="(0.036)",="(0.040)",="(0.041)",="(0.043)",="(0.045)",="(0.046)",="(0.049)",="(0.049)",="(0.052)",="(0.051)",="(0.054)"
="L4_R_DJ_global",="0.066***",="0.100***",="0.099***",="0.109***",="0.114***",="0.071*",="0.031",="0.023",="0.042",="0.078*",="0.080",="0.077",="0.090*",="0.086*",="0.049",="0.051"
="",="(0.021)",="(0.021)",="(0.029)",="(0.030)",="(0.035)",="(0.038)",="(0.040)",="(0.041)",="(0.044)",="(0.044)",="(0.048)",="(0.047)",="(0.052)",="(0.048)",="(0.056)",="(0.052)"
